"","Country","Capital","Population","Area","Region","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Crops....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"223","Thailand","Bangkok","67089500","514000.0","ASIA (EX. NEAR EAST)         ",0,2048,7400,926,1089,646,2,1387,704,99,441,46
"224","Togo","Lomé","6587239","56785.0","SUB-SAHARAN AFRICA                 ",0,6661,1500,609,106,221,2,3701,983,395,204,401
"226","Tonga","Nuku'alofa","122580","748.0","OCEANIA                            ",0,1262,2200,985,977,4306,2,2537,528,23,27,5
"228","Tunisia","Tunis","10589025","163610.0","NORTHERN AFRICA                    ",-57,2477,6900,742,1236,1374,3,1552,513,132,318,55
"229","Turkey","Ankara","77804122","780580.0","NEAR EAST                          ",0,4104,6700,865,2695,331,3,1662,597,117,298,585
"230","Turkmenistan","Ashgabat","4940916","488100.0","C.W. OF IND. STATES ",-86,7308,5800,980,746,14,1,2761,86,209,38,411
"235","Uganda","Kampala","33398682","236040.0","SUB-SAHARAN AFRICA                 ",0,6783,1400,699,36,1065,2,4735,1224,311,222,469
"236","Ukraine","Kiev","45415596","603700.0","C.W. OF IND. STATES ",-39,2034,5400,997,2599,161,3,882,1439,187,452,361
"240","Uruguay","Montevideo","3477000","176220.0","LATIN AMER. & CARIB    ",-32,1195,12800,980,2914,23,3,1391,905,93,311,596
"241","Uzbekistan","Tashkent","27865738","447400.0","C.W. OF IND. STATES ",-172,711,1700,993,629,83,1,2636,784,342,229,43
"242","Vanuatu","Port Vila","221552","12200.0","OCEANIA                            ",0,5516,2900,530,326,738,2,2272,782,26,12,62
"244","Venezuela","Caracas","27223228","912050.0","LATIN AMER. & CARIB    ",-4,222,4800,934,1401,92,2,1871,492,4,419,541
"245","Vietnam","Hanoi","89571130","329560.0","ASIA (EX. NEAR EAST)         ",-45,2595,2500,903,1877,595,2,1686,622,209,41,381
"248","Yemen","Sanaa","23495361","527970.0","NEAR EAST                          ",0,615,800,502,372,24,1,4289,83,135,472,393
"249","Zambia","Lusaka","13460305","752614.0","SUB-SAHARAN AFRICA                 ",0,8829,800,806,82,3,2,41,1993,22,29,489
"250","Zimbabwe","Harare","11651858","390580.0","SUB-SAHARAN AFRICA                 ",0,6769,1900,907,268,34,2,2801,2184,179,243,579
